model,policy,z,scope,group,fill_rate,stockout_units,excess_units,stockout_skumonth_rate,excess_per_unit_shortage,n_rows
M2_gbm_poisson,forecast_plus_ss,1.280000,abc,A,0.916336,131666.000000,1271028.000000,0.102704,9.653426,4771
M2_gbm_poisson,forecast_plus_ss,1.280000,abc,B,0.817608,76866.000000,382427.000000,0.103834,4.975243,4825
M2_gbm_poisson,forecast_plus_ss,1.280000,abc,C,0.723470,53542.000000,226806.000000,0.069090,4.236039,6933
M2_gbm_poisson,forecast_plus_ss,1.645000,overall,all,0.898647,221840.000000,2295561.000000,0.073386,10.347823,16529
M2_gbm_poisson,forecast_plus_ss,1.645000,month,2011-06,0.903730,26193.000000,379412.000000,0.060717,14.485244,2734
M2_gbm_poisson,forecast_plus_ss,1.645000,month,2011-07,0.921675,21510.000000,361299.000000,0.067583,16.796792,2693
M2_gbm_poisson,forecast_plus_ss,1.645000,month,2011-08,0.941008,17006.000000,385086.000000,0.038575,22.644126,2722
M2_gbm_poisson,forecast_plus_ss,1.645000,month,2011-09,0.859554,56018.000000,354931.000000,0.093290,6.336017,2787
M2_gbm_poisson,forecast_plus_ss,1.645000,month,2011-10,0.880390,51031.000000,430788.000000,0.082002,8.441692,2817
M2_gbm_poisson,forecast_plus_ss,1.645000,month,2011-11,0.905203,50082.000000,384045.000000,0.096902,7.668324,2776
M2_gbm_poisson,forecast_plus_ss,1.645000,abc,A,0.933042,105374.000000,1565351.000000,0.082163,14.855192,4771
M2_gbm_poisson,forecast_plus_ss,1.645000,abc,B,0.841082,66973.000000,465286.000000,0.086425,6.947367,4825
M2_gbm_poisson,forecast_plus_ss,1.645000,abc,C,0.744382,49493.000000,264924.000000,0.058272,5.352757,6933
M2_gbm_poisson,forecast_plus_ss,2.050000,overall,all,0.913719,188852.000000,2768055.000000,0.060197,14.657271,16529
M2_gbm_poisson,forecast_plus_ss,2.050000,month,2011-06,0.917002,22582.000000,458277.000000,0.050841,20.293907,2734
M2_gbm_poisson,forecast_plus_ss,2.050000,month,2011-07,0.933396,18291.000000,442316.000000,0.054957,24.182166,2693
M2_gbm_poisson,forecast_plus_ss,2.050000,month,2011-08,0.952806,13605.000000,462480.000000,0.033064,33.993385,2722
M2_gbm_poisson,forecast_plus_ss,2.050000,month,2011-09,0.879521,48054.000000,431034.000000,0.076785,8.969784,2787
M2_gbm_poisson,forecast_plus_ss,2.050000,month,2011-10,0.895487,44590.000000,510797.000000,0.069933,11.455416,2817
M2_gbm_poisson,forecast_plus_ss,2.050000,month,2011-11,0.921012,41730.000000,463151.000000,0.074568,11.098754,2776
M2_gbm_poisson,forecast_plus_ss,2.050000,abc,A,0.945949,85062.000000,1900717.000000,0.062251,22.345078,4771
M2_gbm_poisson,forecast_plus_ss,2.050000,abc,B,0.862168,58087.000000,559409.000000,0.073368,9.630537,4825
M2_gbm_poisson,forecast_plus_ss,2.050000,abc,C,0.763956,45703.000000,307929.000000,0.049618,6.737610,6933
M3_gbm_squared,forecast_only,1.280000,overall,all,0.731869,586882.000000,656546.000000,0.226934,1.118702,16529
